id,name,description,address,kommun,lan,lat,lng,website,phone,email,products,onSiteSales,tastingRoom,"gardsförsäljningLicense",isArchipelago,openingHours,season,source
blekinge-frukttrad-plantskola,"Blekinge Fruktträd Plantskola","","Nötabråne 28, 374 91 Asarum, Sverige","",Blekinge,56.2300115,14.8677269,http://blekingefrukttradplantskola.se/,"076-247 71 60","","[""grönsaker"",""annat""]",0,0,0,0,"","","google-places:odlare gård"
blomlofs-pa-salto,"Blomlöfs på Saltö","","Saltö fiskhamn, 371 37 Karlskrona, Sverige",Karlskrona,Blekinge,56.163887,15.5688668,https://blomlofs.se/salto,"0455-817 58","","[""kött""]",0,0,0,0,"måndag: 10:00–17:00, tisdag: 10:00–17:00, onsdag: 10:00–17:00, torsdag: 10:00–17:00, fredag: 10:00–17:00, lördag: 10:00–15:00, söndag: Stängt","","google-places:lammgård"
bottnansmala-gard,"Bottnansmåla Gård","","Bottnansmåla 105, 373 44 Rödeby, Sverige","",Blekinge,56.3324677,15.6000603,http://www.bottnansmala.se/,"070-362 85 08","","[""annat"",""kött""]",1,0,0,0,"måndag: Stängt, tisdag: Stängt, onsdag: Stängt, torsdag: 17:00–19:00, fredag: Stängt, lördag: 11:00–15:00, söndag: Stängt","","google-places:gårdsbutik"
bredaviks-ortagard,"Bredaviks Örtagård","","Lösen Hässlelyckans gårdsbutik 123, 371 94 Lyckeby, Sverige","",Blekinge,56.2019172,15.6936251,http://www.bredaviksortagard.se/,"070-981 21 51","","[""annat"",""grönsaker""]",1,0,0,0,"","","google-places:gårdsbutik"
bryggerifabriken,Bryggerifabriken,"","Gullbernavägen 7, 371 47 Karlskrona, Sverige",Karlskrona,Blekinge,56.194386,15.6265468,http://bryggerifabriken.se/,"","","[""öl"",""sprit""]",0,1,0,0,"","",google-places:bryggeri
bryggerifabriken-fd-bryggeri-skeppsgossen,"Bryggerifabriken Fd Bryggeri Skeppsgossen","","Gullbernavägen 7, 371 47 Karlskrona, Sverige",Karlskrona,Blekinge,56.194386,15.6265468,http://bryggerifabriken.se/,"","","[""öl""]",0,1,0,0,"","",google-places:bryggeri
brygghus-19,"Brygghus 19","","Västra kajen 8F, 374 31 Karlshamn, Sverige",Karlshamn,Blekinge,56.16703,14.860489,http://www.brygghus19.se/,"070-919 19 50","","[""öl"",""sprit""]",0,1,0,0,"","",google-places:bryggeri
broderna-sibbesson-ab-2,"Bröderna Sibbesson AB","","Lillesjövägen 51, 295 94 Näsum, Sverige","",Blekinge,56.2064447,14.5262412,http://www.sibbesson.se/,"0456-248 93","","[""grönsaker"",""bakat""]",1,0,0,0,"","","google-places:självplock"
brodhultsgarden-ab,"Brödhultsgården Ab","","Brödhultsvägen 40, 293 94 Kyrkhult, Sverige","",Blekinge,56.3253817,14.585062,https://www.brodhultsgarden.se/,"070-565 59 22","","[""bakat"",""kött""]",1,0,0,0,"måndag: 15:00–18:00, tisdag: 14:00–17:00, onsdag: 14:00–17:00, torsdag: 10:00–17:00, fredag: 10:00–17:00, lördag: 10:00–14:00, söndag: Stängt","","google-places:gårdsbutik"
broms-gardsbutik-2,"Bröms Gårdsbutik","","385 98 Bergkvara, Sverige","",Blekinge,56.3218517,16.036752,http://bromslantgard.se/,"","","[""annat""]",1,0,0,0,"måndag: 10:00–18:00, tisdag: 10:00–18:00, onsdag: 10:00–18:00, torsdag: 10:00–18:00, fredag: 10:00–18:00, lördag: 10:00–16:00, söndag: Stängt","","google-places:gårdsbutik"
charkett-ab,"Charkett AB","","Silvervägen 4, 371 50 Karlskrona, Sverige",Karlskrona,Blekinge,56.2188258,15.6510551,http://charkett.se/,"0455-260 50","","[""kött""]",0,0,0,0,"måndag: 06:00–16:00, tisdag: 06:00–16:00, onsdag: 06:00–16:00, torsdag: 06:00–16:00, fredag: 06:00–13:00, lördag: Stängt, söndag: Stängt","","google-places:gårdsslakteri"
countrydreams-farm,"Countrydreams Farm","","Övre Arvidstorpsvägen 16, 372 92 Kallinge, Sverige","",Blekinge,56.2682063,15.3340172,https://www.countrydreamsfarm.se/,"","","[""kött""]",0,0,0,0,"","","google-places:fårfarm"
domingos-gardsbutik,"Domingos Gårdsbutik","","Truttagårdsvägen 2, 294 91 Sölvesborg, Sverige","Sölvesborg",Blekinge,56.0354719,14.6088324,https://instagram.com/0procentbonde?igshid=jibttheoylb1,"","","[""annat"",""kött""]",1,0,0,0,"måndag: 08:00–20:00, tisdag: 08:00–20:00, onsdag: 08:00–20:00, torsdag: 08:00–20:00, fredag: 08:00–20:00, lördag: 08:00–20:00, söndag: 08:00–20:00","","google-places:gårdsbutik"
ekne-gards-frukt-gront-ab,"Ekne Gårds Frukt & Grönt AB","","Pukaviksvägen 529, 293 92 Jämshög, Sverige","",Blekinge,56.2363322,14.5427415,https://eknegard.se/,"0454-38 38 50","","[""annat""]",1,0,0,0,"måndag: 09:00–17:00, tisdag: 09:00–17:00, onsdag: 09:00–17:00, torsdag: 09:00–17:00, fredag: 09:00–17:00, lördag: 10:00–14:00, söndag: Stängt","","google-places:gårdsförsäljning"
ekovilt-i-sverige-ab,"Ekovilt i Sverige AB","","Lönashultsvägen 8, 342 53 Lönashult, Sverige","",Blekinge,56.643819,14.5207611,http://www.ekovilt.se/,"010-405 25 70","","[""kött""]",0,0,0,0,"","","google-places:gårdsslakteri"
elleholms-tomatodling-ab,"Elleholms Tomatodling AB","","Forsbackavägen 236, 375 90 Mörrum, Sverige","",Blekinge,56.1716944,14.7560169,https://elleholmstomater.se/,"0454-512 88","","[""grönsaker""]",1,0,0,0,"måndag: Stängt, tisdag: Stängt, onsdag: 12:00–16:00, torsdag: 12:00–16:00, fredag: 12:00–16:00, lördag: Stängt, söndag: Stängt","","google-places:gårdsförsäljning"
elsas-lilla-krog,"Elsas lilla krog","","Ronnebygatan 30, 371 32 Karlskrona, Sverige",Karlskrona,Blekinge,56.162149,15.589129,https://www.elsaskrog.se/,"0455-32 44 32","","[""bakat""]",0,0,0,0,"måndag: 11:00–21:00, tisdag: 11:00–21:00, onsdag: 11:00–21:00, torsdag: 11:00–22:00, fredag: 11:00–22:00, lördag: 11:00–22:00, söndag: 12:00–21:00","","google-places:gårdsbageri"
fiddekulla-tradgard,"Fiddekulla Trädgård","","Fiddekulla 118, 361 96 Vissefjärda, Sverige","",Blekinge,56.5338066,15.6235897,http://www.fiddekullatradgard.se/,"073-422 37 30","","[""grönsaker""]",1,0,0,0,"måndag: Stängt, tisdag: Stängt, onsdag: Stängt, torsdag: 13:00–17:00, fredag: 13:00–17:00, lördag: 11:00–15:00, söndag: Stängt","","google-places:gårdsförsäljning"
filkesboda-gard-filkesboda-skog-och-natur,"Filkesboda Gård, Filkesboda Skog och Natur","","Mjönäsvägen 1520, 291 56 Arkelstorp, Sverige","",Blekinge,56.2811743,14.3874296,http://fsnatur.se/,"073-069 67 50","","[""kött""]",0,0,0,0,"måndag: Stängt, tisdag: Stängt, onsdag: Stängt, torsdag: 14:00–18:00, fredag: Stängt, lördag: Stängt, söndag: Stängt","","google-places:nötkött gård"
frida-pa-staxgard,"Frida på Staxgård","","Yxnarydsvägen 15, 294 93 Sölvesborg, Sverige","Sölvesborg",Blekinge,56.1725505,14.646669,"https://fridapåstaxgård.se/","073-511 57 36","","[""annat"",""kött""]",1,0,0,0,"måndag: 09:00–20:00, tisdag: 09:00–20:00, onsdag: 09:00–20:00, torsdag: 09:00–20:00, fredag: 09:00–20:00, lördag: 09:00–20:00, söndag: 09:00–20:00","","google-places:gårdsbutik"
glassiaren,"Glassiären","","Stortorget 4, 371 12 Karlskrona, Sverige",Karlskrona,Blekinge,56.1614497,15.5889733,https://www.facebook.com/Glassi%C3%A4ren-Karlskrona-1728137940740583,"070-877 88 78","","[""bakat""]",0,0,0,0,"måndag: 10:00–18:00, tisdag: 10:00–18:00, onsdag: 10:00–18:00, torsdag: 10:00–18:00, fredag: 10:00–18:00, lördag: 10:00–18:00, söndag: 09:00–18:00","","google-places:gårdsbageri"
granngarden-karlshamn,"Granngården Karlshamn","","Sternövägen 40, 374 33 Karlshamn, Sverige",Karlshamn,Blekinge,56.1780178,14.848899,https://www.granngarden.se/butiker/karlshamn,"","","[""bakat""]",0,0,0,0,"måndag: 09:00–18:00, tisdag: 09:00–18:00, onsdag: 09:00–18:00, torsdag: 09:00–18:00, fredag: 09:00–18:00, lördag: 09:00–14:00, söndag: Stängt","","google-places:gårdsbageri"
granngarden-karlskrona,"Granngården Karlskrona","","Uranvägen 1, 371 49 Karlskrona, Sverige",Karlskrona,Blekinge,56.2157168,15.637656,https://www.granngarden.se/butiker/karlskrona,"","","[""annat""]",0,0,0,0,"måndag: 09:00–18:00, tisdag: 09:00–18:00, onsdag: 09:00–18:00, torsdag: 09:00–18:00, fredag: 09:00–18:00, lördag: 09:00–15:00, söndag: 10:00–14:00","","google-places:ekogård"
gronsaker-direkt-i-blekinge,"Grönsaker Direkt i Blekinge","","373 53 Ramdala, Sverige","",Blekinge,56.189296,15.7371655,http://gronsakerdirekt.se/,"","","[""grönsaker""]",1,0,0,0,"","","google-places:självplock"
guldbigard,GuldBiGard,"","Hasselvägen 10, 374 52 Asarum, Sverige","",Blekinge,56.2103811,14.8374338,https://www.facebook.com/marketplace/item/3996943590532249,"","","[""grönsaker""]",0,0,0,0,"","","google-places:ekologisk gård"
gummagardens-gardsbutik,"Gummagårdens gårdsbutik","","Norjevägen 25, 294 76 Sölvesborg, Sverige","Sölvesborg",Blekinge,56.1203976,14.67028,https://www.gummagarden.se/,"0456-319 65","","[""annat"",""kött""]",1,0,0,0,"måndag: Stängt, tisdag: Stängt, onsdag: Stängt, torsdag: 10:00–18:00, fredag: 10:00–18:00, lördag: 10:00–15:00, söndag: 10:00–15:00","","google-places:gårdsbutik"
gylles-konditori,"Gylles Konditori","","Norra Kungsgatan 22, 371 14 Karlskrona, Sverige",Karlskrona,Blekinge,56.1642275,15.587074,https://www.gylles.se/,"0455-31 03 30","","[""bakat""]",0,0,0,0,"måndag: 06:00–18:00, tisdag: 06:00–18:00, onsdag: 06:00–18:00, torsdag: 06:00–18:00, fredag: 06:00–18:00, lördag: 07:00–15:00, söndag: Stängt","","google-places:gårdsbageri"
gardsbutik-outdoor-eriksberg,"Gårdsbutik Outdoor Eriksberg","","Guöviksvägen 234, 374 96 Trensum, Sverige","",Blekinge,56.1905102,14.9997825,https://www.eriksberg.se/butiker,"0454-56 43 00","","[""annat"",""kött""]",1,0,0,0,"måndag: 10:00–17:00, tisdag: 10:00–17:00, onsdag: 10:00–17:00, torsdag: 10:00–17:00, fredag: 10:00–17:00, lördag: 10:00–17:00, söndag: 10:00–17:00","","google-places:gårdsbutik"
hantverksbageriet-christin,"Hantverksbageriet Christin","","Drottninggatan 65, 374 36 Karlshamn, Sverige",Karlshamn,Blekinge,56.1718908,14.8606429,https://www.konditorichristin.se/,"0454-100 36","","[""bakat""]",1,1,0,0,"måndag: 08:00–17:00, tisdag: 08:00–17:00, onsdag: 08:00–17:00, torsdag: 08:00–17:00, fredag: 08:00–17:00, lördag: 09:00–16:00, söndag: Stängt","","google-places:gårdscafé"
imperial-brygghus,"Imperial Brygghus","","Ronnebygatan 38, 371 13 Karlskrona, Sverige",Karlskrona,Blekinge,56.1621939,15.5876751,https://imperialbrygghus.se/,"070-830 02 18","","[""öl""]",0,1,0,0,"","",google-places:bryggeri
jennies-bakery,"Jennies Bakery","","Ågatan 26, 374 36 Karlshamn, Sverige",Karlshamn,Blekinge,56.1705873,14.8602598,http://www.jenniesbakery.com/,"","","[""bakat""]",0,0,0,0,"måndag: 08:00–17:00, tisdag: 08:00–17:00, onsdag: 08:00–17:00, torsdag: 08:00–17:00, fredag: 08:00–17:00, lördag: 08:00–16:00, söndag: Stängt","","google-places:gårdsbageri"
kabbegarden,"Kabbegården","","KABBETORP 803, 385 98 Bergkvara, Sverige","",Blekinge,56.3524267,16.0359317,http://kabbegarden.se/,"","","[""grönsaker""]",1,0,0,0,"","","google-places:självplock"
kaf-masen,"Kafé Måsen","","Skeppnabbavägen 39, 373 71 Torhamn, Sverige","",Blekinge,56.09294,15.8239706,http://www.kafemasen.se/,"073-237 34 04","","[""bakat""]",0,0,0,0,"måndag: Stängt, tisdag: Stängt, onsdag: Stängt, torsdag: 11:00–16:00, fredag: 11:00–23:30, lördag: 11:00–16:00, söndag: 11:00–16:00","","google-places:gårdsbageri"
karlskrona-musteri-ab,"Karlskrona Musteri AB","","Berntorp 114, 373 53 Ramdala, Sverige","",Blekinge,56.1889459,15.7371181,http://www.karlskronamusteri.se/,"070-825 40 66","","[""vin""]",0,1,0,0,"","",google-places:musteri
kopparstradets-hembageri,"Kopparsträdets Hembageri","","Repslagaregatan 4, 294 31 Sölvesborg, Sverige","Sölvesborg",Blekinge,56.0520848,14.5846671,https://www.kopparstradetshembageri.se/,"0456-260 23","","[""bakat""]",1,1,0,0,"måndag: 07:00–17:00, tisdag: 07:00–17:00, onsdag: 07:00–17:00, torsdag: 07:00–17:00, fredag: 07:00–17:00, lördag: 07:00–15:00, söndag: Stängt","","google-places:gårdscafé"
lantbrukskonsult-i-blekinge,"Lantbrukskonsult i Blekinge","","Svenstorpsvägen 25-13, 375 91 Mörrum, Sverige","",Blekinge,56.1818805,14.7384039,http://www.lantbrukskonsult.se/,"070-885 02 79","","[""kött""]",0,0,0,0,"","","google-places:viltuppfödare"
lennarths-caf-bistro,"Lennarths Café & Bistro","","Norra Kungsgatan 3, 371 14 Karlskrona, Sverige",Karlskrona,Blekinge,56.1619398,15.5863695,https://www.facebook.com/lennarthscafeochbistro/,"0455-31 03 32","","[""bakat""]",0,0,0,0,"måndag: 11:00–16:00, tisdag: 11:00–16:00, onsdag: 11:00–16:00, torsdag: 11:00–16:00, fredag: 11:00–18:00, lördag: 11:00–18:00, söndag: Stängt","","google-places:gårdsbageri"
lindo-udde,"Lindö Udde","","372 94 Listerby, Sverige","",Blekinge,56.1193125,15.3490286,http://www.lansstyrelsen.se/blekinge/Sv/djur-och-natur/skyddad-natur/naturreservat/ronneby/lindo/Pages/index.aspx,"","","[""kött""]",0,0,0,0,"","","google-places:viltuppfödare"
lotuseco,LotusEco,"","Hantverkaregatan 7, 371 35 Karlskrona, Sverige",Karlskrona,Blekinge,56.1606416,15.583576,https://lotuseco.se/,"0455-232 02","","[""grönsaker""]",0,0,0,0,"","","google-places:ekologisk gård"
matsagardens-lantbruks-ab,"Matsagårdens Lantbruks AB","","Gammalstorpsvägen 463, 294 92 Sölvesborg, Sverige","Sölvesborg",Blekinge,56.1022268,14.6169385,https://www.facebook.com/matsagarden,"","","[""grönsaker""]",1,0,0,0,"","","google-places:självplock"
mellskogs-gard,"Mellskogs Gård","","SKOG 5, 342 62 Moheda, Sverige","",Blekinge,57.0865493,14.5195947,http://www.mellskog.se/,"","","[""grönsaker""]",0,0,0,0,"","","google-places:ekologisk gård"
mormors-bakeri,"Mormors Bakeri","","Nötabråne 28, 374 91 Asarum, Sverige","",Blekinge,56.2300179,14.8678007,http://mormorsbakeri.se/,"076-247 71 60","","[""bakat""]",0,0,0,0,"måndag: Stängt, tisdag: Stängt, onsdag: Stängt, torsdag: Stängt, fredag: 10:00–20:00, lördag: 10:00–20:00, söndag: 10:00–20:00","","google-places:gårdsbageri"
mundekulla-gardsbutik-och-caf,"Mundekulla gårdsbutik och café","","Mundekulla, 361 95 Långasjö, Sverige","",Blekinge,56.6154963,15.4179755,https://www.mundekulla.se/mundekullacafe,"","","[""annat""]",1,1,0,0,"måndag: Stängt, tisdag: Stängt, onsdag: Stängt, torsdag: Stängt, fredag: Stängt, lördag: 10:00–14:00, söndag: Stängt","","google-places:gårdscafé"
mollekulla-lansmansgard,"Möllekulla Länsmansgård","","Möllekullavägen 127, 294 93 Sölvesborg, Sverige","Sölvesborg",Blekinge,56.1770153,14.6338924,https://www.mollekulla.se/,"","","[""annat"",""kött""]",1,0,0,0,"måndag: Stängt, tisdag: Stängt, onsdag: Stängt, torsdag: Stängt, fredag: 13:00–17:00, lördag: 10:00–14:00, söndag: Stängt","","google-places:gårdsbutik"
naturum-blekinge,"Naturum Blekinge","","GYMNASTIKPROMENADEN 2, 372 36 Ronneby, Sverige",Ronneby,Blekinge,56.197361,15.2868338,http://www.naturumblekinge.se/,"010-224 04 00","","[""kött""]",0,0,0,0,"måndag: 10:00–15:00, tisdag: 10:00–15:00, onsdag: 10:00–15:00, torsdag: 10:00–15:00, fredag: 10:00–15:00, lördag: 10:00–15:00, söndag: 10:00–15:00","","google-places:viltuppfödare"
nellys-caf-och-hembageri,"Nellys Café och hembageri","","Landsvägsgatan 2, 371 39 Karlskrona, Sverige",Karlskrona,Blekinge,56.170479,15.5879407,http://www.cafekartan.se/0248131/Nellys_Cafe_och_Hembageri,"0455-229 30","","[""bakat""]",1,1,0,0,"måndag: Stängt, tisdag: 08:30–17:00, onsdag: 08:30–17:00, torsdag: 08:30–17:00, fredag: 08:30–17:00, lördag: 09:00–15:00, söndag: Stängt","","google-places:gårdscafé"
nattraby-kvartersbryggeri,"Nättraby Kvartersbryggeri","","Åvägen 9, 370 24 Nättraby, Sverige","",Blekinge,56.2026274,15.5343378,https://kvartersbryggeri.se/,"","","[""öl""]",0,1,0,0,"","",google-places:bryggeri
olsangs-potatis-ab,"Olsängs Potatis AB","","Olsängsvägen 11, 373 78 Fågelmara, Sverige","",Blekinge,56.2145917,15.9554569,http://olsangspotatis.se/,"0455-36 80 23","","[""grönsaker""]",1,0,0,0,"måndag: 07:00–19:00, tisdag: 07:00–19:00, onsdag: 07:00–19:00, torsdag: 07:00–19:00, fredag: 07:00–19:00, lördag: 09:00–17:00, söndag: 09:00–17:00","","google-places:gårdsbutik"
orranas-gardsmejeri-2,"Orranäs Gårdsmejeri","","Orranäs, 373 75 Jämjö, Sverige","",Blekinge,56.1890178,15.9451631,http://www.orranasgardsmejeri.se/,"076-052 97 77","","[""mejeri"",""kött""]",1,0,0,0,"måndag: Stängt, tisdag: Stängt, onsdag: Stängt, torsdag: Stängt, fredag: 14:00–17:00, lördag: 14:00–17:00, söndag: 14:00–17:00","","google-places:gårdsbutik"
petras-bikupa-gardsbutik-honung,"Petras Bikupa Gårdsbutik Honung","","Klakebäcksvägen 27, 373 73 Jämjö, Sverige","",Blekinge,56.1918999,15.8515578,https://petrasbikupa.se/,"070-235 41 53","","[""honung"",""grönsaker""]",1,0,0,0,"","","google-places:gårdsförsäljning"
plantriket,PlantRiket,"","Johannishusvägen 49, 372 75 Johannishus, Sverige","",Blekinge,56.2202893,15.4119605,http://www.plantriket.se/,"076-338 90 29","","[""kött""]",0,0,0,0,"måndag: 09:00–15:00, tisdag: 09:00–15:00, onsdag: 09:00–15:00, torsdag: 11:00–18:00, fredag: 11:00–18:00, lördag: 09:00–15:00, söndag: 09:00–15:00","","google-places:nötkött gård"
porslinan,Porslinan,"","Östra Hamngatan 7C, 371 32 Karlskrona, Sverige",Karlskrona,Blekinge,56.1627235,15.5954532,http://www.ungdomenshus.se/,"0455-169 22","","[""bakat""]",0,0,0,0,"måndag: 15:00–20:30, tisdag: 15:00–20:30, onsdag: 15:00–20:30, torsdag: 15:00–20:30, fredag: 15:00–20:30, lördag: Stängt, söndag: Stängt","","google-places:gårdsbageri"
renates-bageri-restaurang,"Renates Bageri & Restaurang","","Östra Storgatan 21, 293 34 Olofström, Sverige","Olofström",Blekinge,56.2780962,14.5271703,http://www.renates.se/,"0454-405 05","","[""bakat""]",0,0,0,0,"måndag: 08:00–16:00, tisdag: 08:00–16:00, onsdag: 07:00–18:00, torsdag: 07:00–18:00, fredag: 07:00–18:00, lördag: 09:00–15:00, söndag: Stängt","","google-places:gårdsbageri"
riksdagsmannagarden,"Riksdagsmannagården","","Törnerydsvägen 302, 374 96 Trensum, Sverige","",Blekinge,56.2314735,15.0236967,https://www.riksdagsmannagarden.se/,"076-846 00 21","","[""annat"",""kött""]",1,0,0,0,"måndag: Stängt, tisdag: Stängt, onsdag: Stängt, torsdag: Stängt, fredag: Stängt, lördag: 10:00–15:00, söndag: Stängt","","google-places:gårdsbutik"
rinkaby-gard-ab,"Rinkaby Gård AB","","Rinkaby Gatugård 2, 355 95 Tävelsås, Sverige","",Blekinge,56.8118132,14.8352899,http://rinkabygard.se/,"073-092 13 16","","[""annat""]",0,0,0,0,"","","google-places:lokal producent mat"
ritz-conditori-och-bageri-i-solvesborg,"Ritz Conditori och Bageri i Sölvesborg","","Stortorget 3-5, 294 31 Sölvesborg, Sverige","Sölvesborg",Blekinge,56.0527344,14.586647,http://www.ritzsbg.se/,"0456-103 33","","[""bakat""]",1,1,0,0,"måndag: 08:00–18:00, tisdag: 08:00–18:00, onsdag: 08:00–18:00, torsdag: 08:00–18:00, fredag: 08:00–18:00, lördag: 08:00–15:00, söndag: Stängt","","google-places:gårdscafé"
rockos-konditori,"Rockos Konditori","","Ronnebygatan 5, 374 35 Karlshamn, Sverige",Karlshamn,Blekinge,56.1687194,14.8621705,https://m.facebook.com/Rockoskonditori/?tsid=0.7917798258039452&source=result,"0454-160 00","","[""bakat""]",0,0,0,0,"måndag: 06:30–15:00, tisdag: 06:30–16:00, onsdag: 06:30–16:00, torsdag: 06:30–16:00, fredag: 06:30–15:00, lördag: 06:30–14:00, söndag: Stängt","","google-places:gårdsbageri"
rutger-sandstrom-allatorpsgard,"Rutger sandström allatorpsgård","","Allatorpsgård 1, Allatorps gård 1, 371 91 Karlskrona, Sverige",Karlskrona,Blekinge,56.2218382,15.5938639,https://www.allatorpsgard.se/,"070-838 85 04","","[""annat""]",0,0,0,0,"","","google-places:ekogård"
sjolyckornas-gardsbutik-2,"Sjölyckornas Gårdsbutik","","sjölyckorna 1, 355 98 Ingelstad, Sverige","",Blekinge,56.7750586,15.0424892,http://www.sjolyckorna.se/,"070-284 85 55","","[""kött""]",0,0,0,0,"måndag: Stängt, tisdag: Stängt, onsdag: Stängt, torsdag: 13:00–18:00, fredag: 10:00–18:00, lördag: 10:00–14:00, söndag: Stängt","","google-places:nötkött gård"
sjostens-hjorthagn,"Sjöstens Hjorthägn","","Kråkerumsvägen 53, 373 74 Jämjö, Sverige","",Blekinge,56.2148499,15.8406897,http://sjostenshagn.se/,"","","[""kött""]",0,0,0,0,"måndag: Stängt, tisdag: Stängt, onsdag: Stängt, torsdag: 17:00–20:00, fredag: Stängt, lördag: 12:00–17:00, söndag: 12:00–16:00","","google-places:nötkött gård"
skearyd-tradgard-ab,"Skearyd Trädgård AB","","Skearydsvägen 29, 373 75 Jämjö, Sverige","",Blekinge,56.187914,15.8973084,http://www.skearyd.se/,"0455-525 12","","[""grönsaker""]",0,0,0,0,"måndag: Stängt, tisdag: Stängt, onsdag: Stängt, torsdag: Stängt, fredag: Stängt, lördag: Stängt, söndag: 11:00–15:00","","google-places:gårdsslakteri"
